site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P668 07OCT03 2007.7536 54376 1447 3 -121.5   3129  0.476669   4486047  0.473274  1982  0.505136  0.0083 0.000698 0.000934 0.003077  0.007445 -0.081507  0.079504
P668 07OCT04 2007.7563 54377 1447 4 -121.5   3129  0.476657   4486047  0.476367  1982  0.499037  0.0083 0.000701 0.000944 0.003109  0.012923 -0.087877  0.088591
P668 07OCT05 2007.7591 54378 1447 5 -121.5   3129  0.481458   4486047  0.478097  1982  0.508798  0.0083 0.000692 0.000928 0.003006  0.009179 -0.064501  0.081830
P668 07OCT06 2007.7618 54379 1447 6 -121.5   3129  0.480661   4486047  0.478223  1982  0.513546  0.0083 0.000699 0.000926 0.003022  0.000065 -0.063716  0.061599
P668 07OCT07 2007.7645 54380 1448 0 -121.5   3129  0.481318   4486047  0.479414  1982  0.515226  0.0083 0.000686 0.000917 0.002950  0.006157 -0.069664  0.068265
P668 07OCT08 2007.7673 54381 1448 1 -121.5   3129  0.480232   4486047  0.477433  1982  0.506406  0.0083 0.000730 0.000985 0.003227 -0.008368 -0.079871  0.034604
P668 07OCT09 2007.7700 54382 1448 2 -121.5   3129  0.483519   4486047  0.479950  1982  0.505138  0.0083 0.000747 0.000994 0.003221  0.010342 -0.096643  0.064000
P668 07OCT10 2007.7728 54383 1448 3 -121.5   3129  0.483254   4486047  0.483659  1982  0.510380  0.0083 0.000735 0.001022 0.003353 -0.024429 -0.074939  0.081986
P668 07OCT11 2007.7755 54384 1448 4 -121.5   3129  0.478171   4486047  0.478013  1982  0.512448  0.0083 0.000709 0.000944 0.003086  0.017132 -0.082843  0.064290
P668 07OCT12 2007.7782 54385 1448 5 -121.5   3129  0.479659   4486047  0.477218  1982  0.509903  0.0083 0.000705 0.000929 0.003071 -0.014924 -0.065468  0.073053
P668 07OCT13 2007.7810 54386 1448 6 -121.5   3129  0.479757   4486047  0.476356  1982  0.511170  0.0083 0.000693 0.000929 0.002988  0.019813 -0.072591  0.067531
