site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P666 07OCT07 2007.7645 54380 1448 0 -121.5  -1230 -0.562150   4481200  0.579109  2471  0.558698  0.0083 0.000672 0.000874 0.002754 -0.016864 -0.027665 -0.231794
P666 07OCT08 2007.7673 54381 1448 1 -121.5  -1230 -0.564159   4481200  0.576382  2471  0.565391  0.0083 0.000714 0.000948 0.003025 -0.018071 -0.043577 -0.257100
P666 07OCT09 2007.7700 54382 1448 2 -121.5  -1230 -0.562735   4481200  0.578080  2471  0.568586  0.0083 0.000836 0.001053 0.003401 -0.048223 -0.018106 -0.224619
P666 07OCT10 2007.7728 54383 1448 3 -121.5  -1230 -0.561824   4481200  0.577649  2471  0.567486  0.0083 0.001006 0.001321 0.004308  0.047800 -0.007252 -0.241724
P666 07OCT11 2007.7755 54384 1448 4 -121.5  -1230 -0.565181   4481200  0.576932  2471  0.553750  0.0083 0.001038 0.001341 0.004567  0.118862 -0.052856 -0.233333
P666 07OCT14 2007.7837 54387 1449 0 -121.5  -1230 -0.563601   4481200  0.576462  2471  0.561420  0.0083 0.000839 0.001121 0.003604  0.021355 -0.057255 -0.202201
P666 07OCT16 2007.7892 54389 1449 2 -121.5  -1230 -0.566065   4481200  0.576026  2471  0.563332  0.0083 0.000735 0.000974 0.003062 -0.011878  0.005620 -0.268408
P666 07OCT17 2007.7919 54390 1449 3 -121.5  -1230 -0.564423   4481200  0.576733  2471  0.559891  0.0083 0.000727 0.000972 0.003062 -0.003812 -0.029874 -0.272955
P666 07OCT18 2007.7947 54391 1449 4 -121.5  -1230 -0.561711   4481200  0.574833  2471  0.559196  0.0083 0.000690 0.000884 0.002843 -0.005903 -0.038994 -0.260337
P666 07OCT19 2007.7974 54392 1449 5 -121.5  -1230 -0.561223   4481200  0.576535  2471  0.563437  0.0083 0.001238 0.001368 0.004900 -0.086762 -0.034240 -0.288607
P666 07OCT22 2007.8056 54395 1450 1 -121.5  -1230 -0.562624   4481200  0.575348  2471  0.548893  0.0083 0.000818 0.001106 0.003532  0.046680 -0.049666 -0.222918
P666 07OCT23 2007.8084 54396 1450 2 -121.5  -1230 -0.561912   4481200  0.578571  2471  0.555206  0.0083 0.000683 0.000875 0.002817 -0.016457 -0.036103 -0.259894
P666 07OCT24 2007.8111 54397 1450 3 -121.5  -1230 -0.562533   4481200  0.577560  2471  0.561537  0.0083 0.000812 0.001045 0.003410  0.013250 -0.044651 -0.231924
P666 07NOV02 2007.8357 54406 1451 5 -121.5  -1230 -0.563981   4481200  0.576265  2471  0.552730  0.0083 0.000666 0.000853 0.002719 -0.019877 -0.013276 -0.238579
P666 07NOV03 2007.8385 54407 1451 6 -121.5  -1230 -0.564551   4481200  0.576475  2471  0.556347  0.0083 0.000664 0.000854 0.002736 -0.029822 -0.007147 -0.246086
P666 07NOV04 2007.8412 54408 1452 0 -121.5  -1230 -0.566140   4481200  0.575521  2471  0.558702  0.0083 0.000661 0.000850 0.002691 -0.015702 -0.003866 -0.234580
P666 07NOV05 2007.8439 54409 1452 1 -121.5  -1230 -0.564465   4481200  0.576864  2471  0.556678  0.0083 0.000661 0.000845 0.002658 -0.023722 -0.002415 -0.233064
P666 07NOV06 2007.8467 54410 1452 2 -121.5  -1230 -0.564618   4481200  0.577046  2471  0.555532  0.0083 0.000670 0.000851 0.002695 -0.027716 -0.011461 -0.231079
P666 07NOV07 2007.8494 54411 1452 3 -121.5  -1230 -0.565771   4481200  0.576184  2471  0.555999  0.0083 0.000662 0.000856 0.002694 -0.027808 -0.009667 -0.237227
P666 07NOV08 2007.8522 54412 1452 4 -121.5  -1230 -0.565006   4481200  0.574992  2471  0.557454  0.0083 0.000678 0.000868 0.002739 -0.023843 -0.013883 -0.248890
P666 07NOV09 2007.8549 54413 1452 5 -121.5  -1230 -0.564733   4481200  0.575650  2471  0.558291  0.0083 0.000684 0.000874 0.002756 -0.023871 -0.000752 -0.242665
